title,artist,top genre,genre simplified,year,bpm,energy,danceability,dB,liveness,valence,duration,acousticness,speechiness,popularity
TRAFFIC,Marcello Spooks,other,other,2023,107,69,60,-7,15,37,190,38,21,29
Save Your Heart First,KTEE,pop,pop,2023,150,84,57,-6,34,53,177,7,20,28
Emotions,Mila Nabours,other,alternative,2023,98,59,71,-7,9,30,211,10,8,27
Lost Souls,KJ Hand,other,other,2022,127,35,32,-9,10,18,227,78,3,26
Up to Something,Preston TO,pop,pop,2023,150,68,59,-8,10,41,194,82,6,26
NOT AFRAID,Kodiro,other,other,2022,80,54,71,-7,10,43,180,5,3,25
Lead You Afar,Jordan Cabo Smith,other,other,2023,91,80,50,-6,23,83,227,14,20,23
Katara,Thimo Konings,other,other,2023,145,91,76,-7,11,80,321,0,5,22
Como Saber,Marta Delas,other,other,2023,128,87,65,-5,40,80,180,1,3,21
Southbound,Beach Blvd,other,rock,2023,140,88,60,-6,10,49,228,19,4,21
Flow,Desire Machines,other,other,2022,100,87,60,-7,9,74,255,0,5,15
Scared of the Dark,Everything Brighter,pop,pop,2023,120,80,65,-6,7,61,179,0,6,11
Sorry,LEADR,other,other,2023,95,64,66,-10,19,40,174,0,6,5
